verbo|traducao_italiano|esempio|nivel
der Bruder, Brüder|il fratello|Mein Bruder ist älter als ich.|A1
das Buch, Bücher|il libro|Ich lese gern Bücher.|A1
das Büro, -s|l'ufficio|Mein Büro ist im Zentrum.|A1
der Bus, -se|l'autobus|Ich fahre mit dem Bus zur Arbeit.|A1
die Butter (kein Pl.)|il burro|Ich esse Brot mit Butter.|A1
der Chef, -s / die Chefin, -nen|il capo / la capa|Mein Chef ist sehr nett.|A2
der Computer, -|il computer|Ich arbeite am Computer.|A1
der Cousin, -s / die Cousine, -n|il cugino / la cugina|Meine Cousine wohnt in Köln.|A1
das Dach, Dächer|il tetto|Das Haus hat ein rotes Dach.|A2
das Datum, die Daten|la data|Welches Datum haben wir heute?|A2
die Disco, -s|la discoteca|Wir gehen am Samstag in die Disco.|A1
die Diskussion, -en|la discussione|Die Diskussion war sehr interessant.|A1
der Doktor, -en|il dottore|Der Doktor kommt gleich.|A2
das Dokument, -e|il documento|Bitte senden Sie mir das Dokument.|A2
die Dose, -n|la lattina|Ich kaufe eine Dose Cola.|A2
der Drucker, -|la stampante|Der Drucker ist kaputt.|A2
die Dusche, -n|la doccia|Ich nehme eine Dusche.|A1
die E-Mail, -s|l'e-mail|Ich schreibe eine E-Mail.|A1
das Eis (kein Pl.)|il ghiaccio, il gelato|Ich esse gern Eis.|A2
der Elektriker, - / die Elektrikerin, -nen|l'elettricista|Der Elektriker repariert die Lampe.|A1
die Eltern (nur Pl.)|i genitori|Meine Eltern leben in Deutschland.|A1
die Einladung, -en|l'invito|Danke für die Einladung!|A1
der Einkauf, Einkäufe|l'acquisto, la spesa|Ich gehe einkaufen.|A2
der Eingang, Eingänge|l'ingresso, l'entrata|Der Eingang ist links.|A2
die Einzahlung, -en|il deposito, il versamento|Ich mache eine Einzahlung auf mein Konto.|A2
das Einzelzimmer, -|la camera singola|Ich brauche ein Einzelzimmer.|A2
der Enkel, -|il nipote (di nonni)|Mein Enkel ist süß.|A1
die Energie, -n|l'energia|Wir brauchen mehr Energie.|A2
das Erdgeschoss, -e|il piano terra|Meine Wohnung ist im Erdgeschoss.|A2
die Erkältung, -en|il raffreddore|Ich habe eine Erkältung.|A2
der Erfolg, -e|il successo|Ich wünsche dir viel Erfolg!|A2
die Fabrik, -en|la fabbrica|Die Fabrik produziert Autos.|A2
das Fach, Fächer|la materia, la disciplina|Welches Fach studierst du?|A2
der Fahrer, - / die Fahrerin, -nen|l'autista, il guidatore|Der Fahrer ist sehr freundlich.|A1
das Fahrrad, Fahrräder|la bicicletta|Ich fahre gern Fahrrad.|A1
die Fahrkarte, -n|il biglietto (di trasporto)|Ich kaufe eine Fahrkarte nach Berlin.|A2
der Fahrplan, Fahrpläne|l'orario (dei trasporti)|Schau mal im Fahrplan nach!|A2
die Familie, -n|la famiglia|Meine Familie ist klein.|A1
die Farbe, -n|il colore|Welche Farbe magst du?|A2
das Fax, -e|il fax|Ich habe ein Fax bekommen.|A2
das Faxgerät, -e|l'apparecchio fax|Das Faxgerät ist kaputt.|A2
die Feier, -n|la festa, la celebrazione|Die Feier war sehr schön.|A2
der Feiertag, -e|il giorno festivo|Morgen ist ein Feiertag.|A2
das Fenster, -|la finestra|Bitte schließ das Fenster.|A1
die Ferien (Pl.)|le vacanze|Ich fahre in den Ferien weg.|A2
der Fernseher, -|il televisore|Der Fernseher ist neu.|A1
das Fernsehen (kein Pl.)|la televisione (programma)|Ich schaue gern Fernsehen.|A1
das Festival, -s|il festival|Das Festival findet im Sommer statt.|A2
das Fieber (kein Pl.)|la febbre|Ich habe Fieber.|A2
der Film, -e|il film|Ich möchte einen Film sehen.|A1
der Finger, -|il dito|Ich habe mir den Finger verletzt.|A2
die Firma, Firmen|l'azienda, la ditta|Ich arbeite für eine große Firma.|A2
die Fitness (kein Pl.)|il fitness, la forma fisica|Sport ist gut für die Fitness.|A2
die Flasche, -n|la bottiglia|Bitte gib mir die Flasche Wasser.|A1
das Fleisch (kein Pl.)|la carne|Ich esse gern Fleisch.|A1
der Flieger, -|l'aereo (colloquiale)|Der Flieger landet gleich.|A2
der Flug, Flüge|il volo|Mein Flug geht nach Berlin.|A1
der Flughafen, Flughäfen|l'aeroporto|Wir fahren zum Flughafen.|A1
das Flugzeug, -e|l'aereo|Das Flugzeug fliegt hoch.|A1
das Formular, -e|il modulo|Bitte füllen Sie das Formular aus.|A1
das Foto, -s|la foto|Ich zeige dir meine Fotos.|A1
der Fotograf, -en|il fotografo|Der Fotograf macht schöne Bilder.|A1
die Frau, -en|la donna, la signora|Die Frau ist sehr nett.|A1
die Freizeit (kein Pl.)|il tempo libero|In meiner Freizeit lese ich gern.|A2
der Freitag, -e|il venerdì|Am Freitag gehen wir ins Kino.|A1
der Freund, -e / die Freundin, -nen|l'amico / l'amica, il ragazzo / la ragazza|Das ist mein Freund Peter.|A1
der Friseur, -e / die Friseuse, -n|il parrucchiere / la parrucchiera|Ich gehe zum Friseur.|A1
der Frühling, -e|la primavera|Im Frühling blühen die Blumen.|A2
das Frühstück, -e|la colazione|Ich esse mein Frühstück um 7 Uhr.|A1
der Führerschein, -e|la patente di guida|Hast du einen Führerschein?|A2
der Fuß, Füße|il piede|Ich gehe zu Fuß zur Arbeit.|A1
der Fußball, Fußbälle|il calcio, il pallone|Ich spiele gern Fußball.|A1
der Garten, Gärten|il giardino|Wir haben einen schönen Garten.|A1
der Gast, Gäste|l'ospite|Wir haben heute Gäste.|A2
das Gebäude, -|l'edificio|Das Gebäude ist sehr alt.|A2
das Geburtstag, -e|il compleanno|Heute ist mein Geburtstag.|A1
das Gefühl, -e|il sentimento, la sensazione|Ich habe ein gutes Gefühl.|A2
das Gehalt, Gehälter|lo stipendio|Mein Gehalt ist nicht schlecht.|A2
das Geld (kein Pl.)|i soldi, il denaro|Ich habe kein Geld.|A1
das Gemüse (kein Pl.)|la verdura|Ich esse viel Gemüse.|A1
das Gepäck (kein Pl.)|il bagaglio|Wo ist mein Gepäck?|A1
das Gerät, -e|l'apparecchio, il dispositivo|Dieses Gerät ist sehr praktisch.|A2
das Geschäft, -e|il negozio, l'affare|Das Geschäft schließt um 18 Uhr.|A1
das Geschenk, -e|il regalo|Danke für das Geschenk!|A1
die Geschichte, -n|la storia|Ich lerne gern Geschichte.|A2
das Gesicht, -er|il viso, la faccia|Sie hat ein schönes Gesicht.|A2
die Gesundheit (kein Pl.)|la salute|Die Gesundheit ist wichtig.|A2
das Getränk, -e|la bevanda|Was möchtest du trinken?|A1
das Glas, Gläser|il bicchiere, il vetro|Ein Glas Wasser, bitte.|A1
der Glückwunsch, Glückwünsche|l'augurio, la congratulazione|Herzlichen Glückwunsch!|A1
der Grad, -e|il grado|Es sind 20 Grad heute.|A1
die Großeltern (nur Pl.)|i nonni|Meine Großeltern wohnen auf dem Land.|A1
die Großmutter, Großmütter|la nonna|Meine Großmutter kocht sehr gut.|A1
der Großvater, Großväter|il nonno|Mein Großvater ist 80 Jahre alt.|A1
der Grund, Gründe|il motivo, la ragione|Was ist der Grund dafür?|A2
die Gruppe, -n|il gruppo|Wir arbeiten in Gruppen.|A2
der Gruß, Grüße|il saluto|Viele Grüße aus Berlin!|A1
der Gürtel, -|la cintura|Der Gürtel ist aus Leder.|A2
das Haar, -e|il capello|Sie hat blonde Haare.|A1
das Hähnchen, -|il pollo|Ich esse gern Hähnchen.|A1
die Haltestelle, -n|la fermata|Die Bushaltestelle ist hier.|A1
die Hand, Hände|la mano|Gib mir deine Hand.|A1
das Handy, -s|il cellulare, il telefonino|Mein Handy ist neu.|A1
das Haus, Häuser|la casa|Ich wohne in einem Haus.|A1
die Hausaufgabe, -n|il compito (a casa)|Ich mache meine Hausaufgaben.|A1
der Haushalt, -e|la famiglia, il nucleo familiare, le faccende domestiche|Ich mache den Haushalt.|A2
die Hausfrau, -en|la casalinga|Meine Mutter ist Hausfrau.|A1
der Hausmann, Hausmänner|il casalingo|Er ist Hausmann und betreut die Kinder.|A1
die Heimat (kein Pl.)|la patria, il paese d'origine|Meine Heimat ist Deutschland.|A2
der Herbst, -e|l'autunno|Im Herbst fallen die Blätter.|A2
der Herr, -en|il signore|Guten Tag, Herr Müller!|A1
das Herz, -en|il cuore|Er hat ein gutes Herz.|A2
die Hilfe, -n|l'aiuto|Ich brauche Hilfe.|A1
der Himmel, -|il cielo|Der Himmel ist blau.|A2
das Hobby, -s|l'hobby, il passatempo|Mein Hobby ist Lesen.|A1
die Hochzeit, -en|il matrimonio, le nozze|Die Hochzeit findet im Juni statt.|A2
das Hotel, -s|l'hotel, l'albergo|Wir übernachten im Hotel.|A1
der Hund, -e|il cane|Ich habe einen Hund.|A1
der Hunger (kein Pl.)|la fame|Ich habe Hunger.|A1
der Husten (kein Pl.)|la tosse|Ich habe Husten.|A2
die Idee, -n|l'idea|Das ist eine gute Idee!|A1
die Information, -en|l'informazione|Ich brauche mehr Informationen.|A1
der Ingenieur, -e / die Ingenieurin, -nen|l'ingegnere|Er ist Ingenieur.|A1
das Internet (kein Pl.)|internet|Ich suche im Internet.|A1
das Jahr, -e|l'anno|Ich bin 30 Jahre alt.|A1
die Jahreszeit, -en|la stagione|Der Frühling ist meine Lieblingsjahreszeit.|A2
der Januar|gennaio|Im Januar ist es kalt.|A1
die Jeans (Pl.)|i jeans|Ich trage gern Jeans.|A1
der Job, -s|il lavoro, l'impiego|Ich suche einen Job.|A1
der Journalist, -en / die Journalistin, -nen|il giornalista / la giornalista|Sie ist Journalistin.|A1
der Juli|luglio|Im Juli ist es heiß.|A1
der Junge, -n|il ragazzo|Der Junge spielt Fußball.|A1
der Juni|giugno|Im Juni beginnt der Sommer.|A1
der Kaffee, -s|il caffè|Ich trinke gern Kaffee.|A1
der Kalender, -|il calendario|Schau mal in den Kalender.|A1
die Kamera, -s|la fotocamera|Ich habe eine neue Kamera.|A1
das Kino, -s|il cinema|Wir gehen heute ins Kino.|A1
das Kind, -er|il bambino|Das Kind spielt im Garten.|A1
die Kindheit (kein Pl.)|l'infanzia|Ich erinnere mich an meine Kindheit.|A2
die Kirche, -n|la chiesa|Die Kirche ist sehr alt.|A2
die Klasse, -n|la classe|Ich bin in der Klasse 3.|A1
das Kleid, -er|il vestito|Das Kleid ist schön.|A1
die Kleidung (kein Pl.)|l'abbigliamento, i vestiti|Die Kleidung ist teuer.|A1
das Klima (kein Pl.)|il clima|Das Klima hier ist mild.|A2
das Knie, -|il ginocchio|Ich habe mir das Knie verletzt.|A2
der Koch, Köche / die Köchin, -nen|il cuoco / la cuoca|Der Koch bereitet das Essen zu.|A1
der Koffer, -|la valigia|Ich packe meinen Koffer.|A1
der Kollege, -n / die Kollegin, -nen|il collega / la collega|Mein Kollege ist sehr nett.|A1
das Konzert, -e|il concerto|Wir gehen heute Abend ins Konzert.|A1
der Kopf, Köpfe|la testa|Ich habe Kopfschmerzen.|A1
der Körper, -|il corpo|Sport ist gut für den Körper.|A1
das Krankenhaus, Krankenhäuser|l'ospedale|Er liegt im Krankenhaus.|A1
die Krankheit, -en|la malattia|Die Krankheit ist ansteckend.|A2
die Küche, -n|la cucina|Die Küche ist klein.|A1
der Kuchen, -|la torta, il dolce|Ich backe einen Kuchen.|A1
der Kugelschreiber, -|la penna a sfera|Hast du einen Kugelschreiber?|A1
der Kunde, -n / die Kundin, -nen|il cliente / la cliente|Der Kunde kauft ein neues Auto.|A2
der Kurs, -e|il corso|Ich mache einen Deutschkurs.|A1
die Lampe, -n|la lampada|Die Lampe ist kaputt.|A1
das Land, Länder|il paese, la nazione, la campagna|Deutschland ist ein schönes Land.|A1
die Landschaft, -en|il paesaggio|Die Landschaft ist wunderschön.|A2
der Laptop, -s|il laptop, il portatile|Ich arbeite am Laptop.|A1
der Lehrer, - / die Lehrerin, -nen|l'insegnante, il maestro / la maestra|Meine Lehrerin ist sehr nett.|A1
der Lohn, Löhne|lo stipendio, il salario|Der Lohn ist gut.|A2
die Lösung, -en|la soluzione|Ich habe die Lösung gefunden.|A2
die Luft (kein Pl.)|l'aria|Die Luft ist frisch.|A2
das Mädchen, -|la ragazza|Das Mädchen liest ein Buch.|A1
der Mann, Männer|l'uomo, il marito|Der Mann ist groß.|A1
der Mantel, Mäntel|il cappotto|Zieh deinen Mantel an!|A1
der Markt, Märkte|il mercato|Ich gehe auf den Markt.|A1
die Maschine, -n|la macchina|Die Maschine funktioniert nicht.|A2
das Meer, -e|il mare|Wir fahren ans Meer.|A1
das Messer, -|il coltello|Das Messer ist scharf.|A1
die Miete, -n|l'affitto|Die Miete ist hoch.|A2
die Milch (kein Pl.)|il latte|Ich trinke gern Milch.|A1
die Minute, -n|il minuto|Warte eine Minute!|A1
der Mittag, -e|il mezzogiorno|Um Mittag essen wir.|A1
das Mittagessen, -|il pranzo|Das Mittagessen ist fertig.|A1
die Mitte (kein Pl.)|il centro, il mezzo|In der Mitte des Zimmers steht ein Tisch.|A2
der Mittwoch, -e|il mercoledì|Am Mittwoch habe ich frei.|A1
das Möbel (meist Pl.)|i mobili|Die Möbel sind neu.|A2
der Moment, -e|il momento|Einen Moment, bitte!|A1
der Monat, -e|il mese|Im nächsten Monat fahre ich weg.|A1
der Montag, -e|il lunedì|Am Montag beginnt die Woche.|A1
der Morgen, -|la mattina|Am Morgen trinke ich Kaffee.|A1
der Motor, -en|il motore|Der Motor funktioniert nicht.|A2
der Mund, Münder|la bocca|Er öffnet den Mund.|A1
das Museum, Museen|il museo|Wir besuchen das Museum.|A1
die Musik (kein Pl.)|la musica|Ich höre gern Musik.|A1
die Mutter, Mütter|la madre|Meine Mutter kocht gut.|A1
der Nachbar, -n / die Nachbarin, -nen|il vicino / la vicina|Mein Nachbar ist freundlich.|A1
die Nacht, Nächte|la notte|Gute Nacht!|A1
der Name, -n|il nome|Wie ist Ihr Name?|A1
die Nase, -n|il naso|Er hat eine große Nase.|A1
die Natur (kein Pl.)|la natura|Ich liebe die Natur.|A2
der November|novembre|Im November ist es kalt.|A1
die Nummer, -n|il numero|Welche Nummer hat das Zimmer?|A1
das Obst (kein Pl.)|la frutta|Ich esse viel Obst.|A1
der Ofen, Öfen|il forno|Der Kuchen ist im Ofen.|A1
der Oktober|ottobre|Im Oktober beginnt der Herbst.|A1
der Onkel, -|lo zio|Mein Onkel wohnt in Hamburg.|A1
die Oper, -n|l'opera|Wir gehen in die Oper.|A2
die Orange, -n|l'arancia|Die Orange ist süß.|A1
der Ort, -e|il luogo, il posto|Das ist ein schöner Ort.|A2
das Paar, -e|la coppia, il paio|Das Paar ist glücklich.|A2
das Paket, -e|il pacco|Ich habe ein Paket bekommen.|A1
das Papier, -e|la carta|Ich brauche ein Blatt Papier.|A1
der Park, -s|il parco|Wir spazieren im Park.|A1
der Partner, - / die Partnerin, -nen|il partner, il compagno / la compagna|Mein Partner arbeitet viel.|A1
der Pass, Pässe|il passaporto|Haben Sie Ihren Pass dabei?|A1
die Pause, -n|la pausa|Wir machen eine Pause.|A1
die Person, -en|la persona|Wie viele Personen kommen?|A1
der Platz, Plätze|la piazza, il posto|Bitte nehmen Sie Platz.|A1
die Polizei (kein Pl.)|la polizia|Rufen Sie die Polizei!|A1
die Post (kein Pl.)|la posta|Ich gehe zur Post.|A1
die Postkarte, -n|la cartolina|Ich schicke dir eine Postkarte.|A1
der Preis, -e|il prezzo|Der Preis ist günstig.|A1
das Problem, -e|il problema|Ich habe ein Problem.|A1
das Programm, -e|il programma|Das Programm ist interessant.|A2
die Prüfung, -en|l'esame|Morgen habe ich eine Prüfung.|A1
der Pullover, -|il maglione|Der Pullover ist warm.|A1
das Radio, -s|la radio|Ich höre Radio.|A1
der Rat (kein Pl.)|il consiglio|Kannst du mir einen Rat geben?|A2
das Rathaus, Rathäuser|il municipio|Das Rathaus ist im Zentrum.|A2
der Raum, Räume|la stanza, lo spazio|Der Raum ist groß.|A2
die Rechnung, -en|il conto, la fattura|Die Rechnung, bitte!|A1
das Recht, -e|il diritto|Jeder hat das Recht auf Bildung.|A2
der Regen (kein Pl.)|la pioggia|Der Regen hört nicht auf.|A1
der Regenschirm, -e|l'ombrello|Nimm den Regenschirm mit!|A1
die Reise, -n|il viaggio|Wir machen eine Reise nach Italien.|A1
das Restaurant, -s|il ristorante|Wir essen im Restaurant.|A1
der Rock, Röcke|la gonna|Der Rock ist kurz.|A1
der Rucksack, Rucksäcke|lo zaino|Mein Rucksack ist schwer.|A1
die Ruhe (kein Pl.)|la calma, il silenzio, la tranquillità|Ich brauche Ruhe.|A2
der Saft, Säfte|il succo|Ich trinke Orangensaft.|A1
der Salat, -e|l'insalata|Ich esse einen Salat.|A1
der Samstag, -e|il sabato|Am Samstag gehe ich einkaufen.|A1
der Satz, Sätze|la frase|Bitte lesen Sie den Satz.|A1
der Schauspieler, - / die Schauspielerin, -nen|l'attore / l'attrice|Er ist ein berühmter Schauspieler.|A1
das Schiff, -e|la nave|Das Schiff fährt nach England.|A1
der Schinken, -|il prosciutto|Ich esse Brot mit Schinken.|A1
der Schlüssel, -|la chiave|Wo ist mein Schlüssel?|A1
der Schmerz, -en|il dolore|Ich habe Schmerzen.|A2
der Schnee (kein Pl.)|la neve|Im Winter liegt Schnee.|A1
der Schrank, Schränke|l'armadio|Die Kleidung ist im Schrank.|A1
der Schuh, -e|la scarpa|Die Schuhe sind neu.|A1
die Schule, -n|la scuola|Die Kinder gehen zur Schule.|A1
der Schüler, - / die Schülerin, -nen|lo studente / la studentessa (scuola)|Der Schüler lernt fleißig.|A1
die Schwester, -n|la sorella|Meine Schwester ist jünger als ich.|A1
der See, -n|il lago|Wir fahren an den See.|A1
die Seite, -n|la pagina, il lato|Bitte öffnen Sie Seite 10.|A1
die Sekunde, -n|il secondo|Warte eine Sekunde!|A1
der September|settembre|Im September beginnt der Herbst.|A1
das Smartphone, -s|lo smartphone|Ich habe ein neues Smartphone.|A1
der Sohn, Söhne|il figlio|Mein Sohn ist 10 Jahre alt.|A1
der Sommer, -|l'estate|Im Sommer ist es heiß.|A1
die Sonne, -n|il sole|Die Sonne scheint.|A1
der Sonntag, -e|la domenica|Am Sonntag haben wir frei.|A1
die Sorge, -n|la preoccupazione|Mach dir keine Sorgen!|A2
die Soße, -n|la salsa, il sugo|Die Soße ist lecker.|A1
der Sport (kein Pl.)|lo sport|Sport ist gesund.|A1
die Sprache, -n|la lingua|Welche Sprache sprichst du?|A1
die Stadt, Städte|la città|Berlin ist eine große Stadt.|A1
der Stock, Stockwerke|il piano (di un edificio)|Wir wohnen im ersten Stock.|A2
die Straße, -n|la strada, la via|Die Straße ist lang.|A1
die Straßenbahn, -en|il tram|Ich fahre mit der Straßenbahn.|A1
der Student, -en / die Studentin, -nen|lo studente / la studentessa (università)|Ich bin Student.|A1
das Studium, Studien|lo studio, gli studi universitari|Mein Studium dauert vier Jahre.|A2
der Stuhl, Stühle|la sedia|Bitte setz dich auf den Stuhl.|A1
die Stunde, -n|l'ora|Die Stunde dauert 45 Minuten.|A1
der Supermarkt, Supermärkte|il supermercato|Ich kaufe im Supermarkt ein.|A1
die Suppe, -n|la zuppa, la minestra|Die Suppe ist heiß.|A1
das System, -e|il sistema|Das System funktioniert gut.|A2
die Tafel, -n|la lavagna|Die Lehrerin schreibt an die Tafel.|A1
der Tag, -e|il giorno|Guten Tag!|A1
die Tante, -n|la zia|Meine Tante wohnt in München.|A1
die Tasche, -n|la borsa, la tasca|Meine Tasche ist schwer.|A1
die Tasse, -n|la tazza|Eine Tasse Kaffee, bitte.|A1
das Taxi, -s|il taxi|Ich nehme ein Taxi.|A1
der Tee, -s|il tè|Ich trinke gern Tee.|A1
der Teil, -e|la parte|Das ist ein wichtiger Teil.|A2
das Telefon, -e|il telefono|Das Telefon klingelt.|A1
der Teller, -|il piatto|Der Teller ist leer.|A1
der Termin, -e|l'appuntamento|Ich habe einen Termin beim Arzt.|A1
der Test, -s|il test, l'esame|Morgen haben wir einen Test.|A1
das Theater, -|il teatro|Wir gehen ins Theater.|A1
das Thema, Themen|il tema, l'argomento|Das Thema ist interessant.|A2
das Tier, -e|l'animale|Ich mag Tiere.|A1
der Tisch, -e|il tavolo|Der Tisch ist groß.|A1
die Tochter, Töchter|la figlia|Meine Tochter ist 15 Jahre alt.|A1
die Toilette, -n|il bagno, la toilette|Wo ist die Toilette?|A1
die Tomate, -n|il pomodoro|Ich esse gern Tomaten.|A1
die Torte, -n|la torta|Die Torte schmeckt gut.|A1
der Tourist, -en / die Touristin, -nen|il turista / la turista|Viele Touristen besuchen Berlin.|A1
die Tradition, -en|la tradizione|Das ist eine alte Tradition.|A2
der Traum, Träume|il sogno|Das ist mein Traum.|A2
das T-Shirt, -s|la maglietta|Ich trage ein T-Shirt.|A1
die Tür, -en|la porta|Bitte schließ die Tür.|A1
die U-Bahn, -en|la metropolitana|Ich fahre mit der U-Bahn.|A1
die Übung, -en|l'esercizio|Die Übung ist schwer.|A1
die Uhr, -en|l'orologio, l'ora|Wie viel Uhr ist es?|A1
die Umgebung, -en|l'ambiente, i dintorni|Die Umgebung ist schön.|A2
die Umwelt (kein Pl.)|l'ambiente|Wir müssen die Umwelt schützen.|A2
der Unfall, Unfälle|l'incidente|Es gab einen Unfall.|A2
die Universität, -en|l'università|Ich studiere an der Universität.|A1
der Unterricht (kein Pl.)|la lezione|Der Unterricht beginnt um 8 Uhr.|A1
der Urlaub, -e|le vacanze, la ferie|Ich brauche Urlaub.|A1
der Vater, Väter|il padre|Mein Vater arbeitet viel.|A1
die Veranstaltung, -en|l'evento|Die Veranstaltung findet morgen statt.|A2
die Verbindung, -en|la connessione, il collegamento|Die Verbindung ist schlecht.|A2
der Verein, -e|l'associazione, il club|Ich bin im Sportverein.|A2
das Verkehrsmittel, -|il mezzo di trasporto|Welches Verkehrsmittel benutzt du?|A2
die Versicherung, -en|l'assicurazione|Ich brauche eine Versicherung.|A2
der Vertrag, Verträge|il contratto|Ich habe den Vertrag unterschrieben.|A2
der Vogel, Vögel|l'uccello|Der Vogel singt.|A1
die Vorspeise, -n|l'antipasto|Als Vorspeise nehme ich Suppe.|A2
die Wahl, -en|la scelta, l'elezione|Die Wahl ist schwer.|A2
der Wald, Wälder|il bosco, la foresta|Wir gehen im Wald spazieren.|A1
die Wand, Wände|la parete, il muro|Das Bild hängt an der Wand.|A1
die Wäsche (kein Pl.)|il bucato, la biancheria|Ich muss Wäsche waschen.|A2
das Wasser (kein Pl.)|l'acqua|Ich trinke viel Wasser.|A1
die Webseite, -n|il sito web|Besuchen Sie unsere Webseite.|A2
der Weg, -e|la via, il percorso, la strada|Der Weg ist lang.|A1
der Wein, -e|il vino|Ich trinke gern Wein.|A1
das Wetter (kein Pl.)|il tempo (atmosferico)|Wie ist das Wetter heute?|A1
die Wirtschaft (kein Pl.)|l'economia|Die Wirtschaft wächst.|A2
die Woche, -n|la settimana|Ich arbeite fünf Tage pro Woche.|A1
das Wochenende, -n|il fine settimana|Am Wochenende schlafe ich lang.|A1
die Wohnung, -en|l'appartamento|Meine Wohnung ist klein.|A1
das Wort, Wörter|la parola|Ich kenne dieses Wort nicht.|A1
das Wörterbuch, Wörterbücher|il dizionario|Ich schaue im Wörterbuch nach.|A1
der Wunsch, Wünsche|il desiderio|Was ist dein Wunsch?|A2
die Wurst, Würste|la salsiccia|Ich esse Brot mit Wurst.|A1
die Zahl, -en|il numero|Welche Zahl kommt nach fünf?|A1
der Zahn, Zähne|il dente|Ich putze meine Zähne.|A1
die Zeit (kein Pl.)|il tempo|Ich habe keine Zeit.|A1
die Zeitung, -en|il giornale|Ich lese die Zeitung.|A1
das Zentrum, Zentren|il centro|Das Zentrum ist weit weg.|A1
das Ziel, -e|l'obiettivo, la meta|Was ist dein Ziel?|A2
das Zimmer, -|la stanza, la camera|Das Zimmer ist groß.|A1
die Zitrone, -n|il limone|Ich nehme Tee mit Zitrone.|A1
der Zug, Züge|il treno|Der Zug kommt um 10 Uhr.|A1
die Zukunft (kein Pl.)|il futuro|Die Zukunft ist ungewiss.|A2
der Zustand, Zustände|lo stato, la condizione|Der Zustand des Hauses ist gut.|A2
die Zwiebel, -n|la cipolla|Ich schneide die Zwiebel.|A1
die Anmeldung, -en|l'iscrizione, la registrazione|Die Anmeldung ist bis morgen möglich.|A2
die Abfahrt, -en|la partenza|Die Abfahrt ist um 8 Uhr.|A2
die Ankunft, Ankünfte|l'arrivo|Die Ankunft ist um 12 Uhr.|A2
der Anfang, Anfänge|l'inizio|Am Anfang war es schwer.|A2
die Angst, Ängste|la paura|Ich habe Angst vor Spinnen.|A2
die Arbeit, -en|il lavoro|Die Arbeit macht mir Spaß.|A1
der Arbeitsplatz, Arbeitsplätze|il posto di lavoro|Mein Arbeitsplatz ist modern.|A2
der Artikel, -|l'articolo|Lesen Sie den Artikel.|A2
das Auge, -n|l'occhio|Sie hat blaue Augen.|A1
der Ausgang, Ausgänge|l'uscita|Der Ausgang ist dort drüben.|A2
der Ausdruck, Ausdrücke|l'espressione|Das ist ein schöner Ausdruck.|A2
die Aussicht, -en|la vista, il panorama|Die Aussicht ist wunderschön.|A2
die Auswahl (kein Pl.)|la scelta, la selezione|Die Auswahl ist groß.|A2
der Automat, -en|il distributore automatico|Ich kaufe eine Fahrkarte am Automaten.|A2
die Bäckerei, -en|la panetteria|Ich kaufe Brot in der Bäckerei.|A1
das Bad, Bäder|il bagno|Das Bad ist groß.|A1
der Ball, Bälle|la palla, il pallone|Die Kinder spielen mit dem Ball.|A1
die Batterie, -n|la batteria|Die Batterie ist leer.|A2
der Beamte, -n / die Beamtin, -nen|il funzionario / la funzionaria|Der Beamte arbeitet im Amt.|A2
die Bedeutung, -en|il significato|Was ist die Bedeutung dieses Wortes?|A2
