verbo|traducao_tedesco|esempio|nivel
la donna, la signora|die Frau, -en|Die Frau ist sehr nett.|A1
il tempo libero|die Freizeit (kein Pl.)|In meiner Freizeit lese ich gern.|A2
il venerdì|der Freitag, -e|Am Freitag gehen wir ins Kino.|A1
l'amico / l'amica, il ragazzo / la ragazza|der Freund, -e / die Freundin, -nen|Das ist mein Freund Peter.|A1
il parrucchiere / la parrucchiera|der Friseur, -e / die Friseuse, -n|Ich gehe zum Friseur.|A1
la primavera|der Frühling, -e|Im Frühling blühen die Blumen.|A2
la colazione|das Frühstück, -e|Ich esse mein Frühstück um 7 Uhr.|A1
la patente di guida|der Führerschein, -e|Hast du einen Führerschein?|A2
il piede|der Fuß, Füße|Ich gehe zu Fuß zur Arbeit.|A1
il calcio, il pallone|der Fußball, Fußbälle|Ich spiele gern Fußball.|A1
il giardino|der Garten, Gärten|Wir haben einen schönen Garten.|A1
l'ospite|der Gast, Gäste|Wir haben heute Gäste.|A2
l'edificio|das Gebäude, -|Das Gebäude ist sehr alt.|A2
il compleanno|das Geburtstag, -e|Heute ist mein Geburtstag.|A1
il sentimento, la sensazione|das Gefühl, -e|Ich habe ein gutes Gefühl.|A2
lo stipendio|das Gehalt, Gehälter|Mein Gehalt ist nicht schlecht.|A2
i soldi, il denaro|das Geld (kein Pl.)|Ich habe kein Geld.|A1
la verdura|das Gemüse (kein Pl.)|Ich esse viel Gemüse.|A1
il bagaglio|das Gepäck (kein Pl.)|Wo ist mein Gepäck?|A1
l'apparecchio, il dispositivo|das Gerät, -e|Dieses Gerät ist sehr praktisch.|A2
il negozio, l'affare|das Geschäft, -e|Das Geschäft schließt um 18 Uhr.|A1
il regalo|das Geschenk, -e|Danke für das Geschenk!|A1
la storia|die Geschichte, -n|Ich lerne gern Geschichte.|A2
il viso, la faccia|das Gesicht, -er|Sie hat ein schönes Gesicht.|A2
la salute|die Gesundheit (kein Pl.)|Die Gesundheit ist wichtig.|A2
la bevanda|das Getränk, -e|Was möchtest du trinken?|A1
il bicchiere, il vetro|das Glas, Gläser|Ein Glas Wasser, bitte.|A1
l'augurio, la congratulazione|der Glückwunsch, Glückwünsche|Herzlichen Glückwunsch!|A1
il grado|der Grad, -e|Es sind 20 Grad heute.|A1
i nonni|die Großeltern (nur Pl.)|Meine Großeltern wohnen auf dem Land.|A1
la nonna|die Großmutter, Großmütter|Meine Großmutter kocht sehr gut.|A1
il nonno|der Großvater, Großväter|Mein Großvater ist 80 Jahre alt.|A1
il motivo, la ragione|der Grund, Gründe|Was ist der Grund dafür?|A2
il gruppo|die Gruppe, -n|Wir arbeiten in Gruppen.|A2
il saluto|der Gruß, Grüße|Viele Grüße aus Berlin!|A1
la cintura|der Gürtel, -|Der Gürtel ist aus Leder.|A2
il capello|das Haar, -e|Sie hat blonde Haare.|A1
il pollo|das Hähnchen, -|Ich esse gern Hähnchen.|A1
la fermata|die Haltestelle, -n|Die Bushaltestelle ist hier.|A1
la mano|die Hand, Hände|Gib mir deine Hand.|A1
il cellulare, il telefonino|das Handy, -s|Mein Handy ist neu.|A1
la casa|das Haus, Häuser|Ich wohne in einem Haus.|A1
il compito (a casa)|die Hausaufgabe, -n|Ich mache meine Hausaufgaben.|A1
la famiglia, il nucleo familiare, le faccende domestiche|der Haushalt, -e|Ich mache den Haushalt.|A2
la casalinga|die Hausfrau, -en|Meine Mutter ist Hausfrau.|A1
il casalingo|der Hausmann, Hausmänner|Er ist Hausmann und betreut die Kinder.|A1
la patria, il paese d'origine|die Heimat (kein Pl.)|Meine Heimat ist Deutschland.|A2
l'autunno|der Herbst, -e|Im Herbst fallen die Blätter.|A2
il signore|der Herr, -en|Guten Tag, Herr Müller!|A1
il cuore|das Herz, -en|Er hat ein gutes Herz.|A2
l'aiuto|die Hilfe, -n|Ich brauche Hilfe.|A1
il cielo|der Himmel, -|Der Himmel ist blau.|A2
l'hobby, il passatempo|das Hobby, -s|Mein Hobby ist Lesen.|A1
il matrimonio, le nozze|die Hochzeit, -en|Die Hochzeit findet im Juni statt.|A2
l'hotel, l'albergo|das Hotel, -s|Wir übernachten im Hotel.|A1
il cane|der Hund, -e|Ich habe einen Hund.|A1
la fame|der Hunger (kein Pl.)|Ich habe Hunger.|A1
la tosse|der Husten (kein Pl.)|Ich habe Husten.|A2
l'idea|die Idee, -n|Das ist eine gute Idee!|A1
l'informazione|die Information, -en|Ich brauche mehr Informationen.|A1
l'ingegnere|der Ingenieur, -e / die Ingenieurin, -nen|Er ist Ingenieur.|A1
internet|das Internet (kein Pl.)|Ich suche im Internet.|A1
l'anno|das Jahr, -e|Ich bin 30 Jahre alt.|A1
la stagione|die Jahreszeit, -en|Der Frühling ist meine Lieblingsjahreszeit.|A2
gennaio|der Januar|Im Januar ist es kalt.|A1
i jeans|die Jeans (Pl.)|Ich trage gern Jeans.|A1
il lavoro, l'impiego|der Job, -s|Ich suche einen Job.|A1
il giornalista / la giornalista|der Journalist, -en / die Journalistin, -nen|Sie ist Journalistin.|A1
luglio|der Juli|Im Juli ist es heiß.|A1
il ragazzo|der Junge, -n|Der Junge spielt Fußball.|A1
giugno|der Juni|Im Juni beginnt der Sommer.|A1
il caffè|der Kaffee, -s|Ich trinke gern Kaffee.|A1
il calendario|der Kalender, -|Schau mal in den Kalender.|A1
la fotocamera|die Kamera, -s|Ich habe eine neue Kamera.|A1
il cinema|das Kino, -s|Wir gehen heute ins Kino.|A1
il bambino|das Kind, -er|Das Kind spielt im Garten.|A1
l'infanzia|die Kindheit (kein Pl.)|Ich erinnere mich an meine Kindheit.|A2
la chiesa|die Kirche, -n|Die Kirche ist sehr alt.|A2
la classe|die Klasse, -n|Ich bin in der Klasse 3.|A1
il vestito|das Kleid, -er|Das Kleid ist schön.|A1
l'abbigliamento, i vestiti|die Kleidung (kein Pl.)|Die Kleidung ist teuer.|A1
il clima|das Klima (kein Pl.)|Das Klima hier ist mild.|A2
il ginocchio|das Knie, -|Ich habe mir das Knie verletzt.|A2
il cuoco / la cuoca|der Koch, Köche / die Köchin, -nen|Der Koch bereitet das Essen zu.|A1
la valigia|der Koffer, -|Ich packe meinen Koffer.|A1
il collega / la collega|der Kollege, -n / die Kollegin, -nen|Mein Kollege ist sehr nett.|A1
il concerto|das Konzert, -e|Wir gehen heute Abend ins Konzert.|A1
la testa|der Kopf, Köpfe|Ich habe Kopfschmerzen.|A1
il corpo|der Körper, -|Sport ist gut für den Körper.|A1
l'ospedale|das Krankenhaus, Krankenhäuser|Er liegt im Krankenhaus.|A1
la malattia|die Krankheit, -en|Die Krankheit ist ansteckend.|A2
la cucina|die Küche, -n|Die Küche ist klein.|A1
la torta, il dolce|der Kuchen, -|Ich backe einen Kuchen.|A1
la penna a sfera|der Kugelschreiber, -|Hast du einen Kugelschreiber?|A1
il cliente / la cliente|der Kunde, -n / die Kundin, -nen|Der Kunde kauft ein neues Auto.|A2
il corso|der Kurs, -e|Ich mache einen Deutschkurs.|A1
la lampada|die Lampe, -n|Die Lampe ist kaputt.|A1
il paese, la nazione, la campagna|das Land, Länder|Deutschland ist ein schönes Land.|A1
il paesaggio|die Landschaft, -en|Die Landschaft ist wunderschön.|A2
il laptop, il portatile|der Laptop, -s|Ich arbeite am Laptop.|A1
l'insegnante, il maestro / la maestra|der Lehrer, - / die Lehrerin, -nen|Meine Lehrerin ist sehr nett.|A1
lo stipendio, il salario|der Lohn, Löhne|Der Lohn ist gut.|A2
la soluzione|die Lösung, -en|Ich habe die Lösung gefunden.|A2
l'aria|die Luft (kein Pl.)|Die Luft ist frisch.|A2
la ragazza|das Mädchen, -|Das Mädchen liest ein Buch.|A1
l'uomo, il marito|der Mann, Männer|Der Mann ist groß.|A1
il cappotto|der Mantel, Mäntel|Zieh deinen Mantel an!|A1
il mercato|der Markt, Märkte|Ich gehe auf den Markt.|A1
la macchina|die Maschine, -n|Die Maschine funktioniert nicht.|A2
il mare|das Meer, -e|Wir fahren ans Meer.|A1
il coltello|das Messer, -|Das Messer ist scharf.|A1
l'affitto|die Miete, -n|Die Miete ist hoch.|A2
il latte|die Milch (kein Pl.)|Ich trinke gern Milch.|A1
il minuto|die Minute, -n|Warte eine Minute!|A1
il mezzogiorno|der Mittag, -e|Um Mittag essen wir.|A1
il pranzo|das Mittagessen, -|Das Mittagessen ist fertig.|A1
il centro, il mezzo|die Mitte (kein Pl.)|In der Mitte des Zimmers steht ein Tisch.|A2
il mercoledì|der Mittwoch, -e|Am Mittwoch habe ich frei.|A1
i mobili|das Möbel (meist Pl.)|Die Möbel sind neu.|A2
il momento|der Moment, -e|Einen Moment, bitte!|A1
il mese|der Monat, -e|Im nächsten Monat fahre ich weg.|A1
il lunedì|der Montag, -e|Am Montag beginnt die Woche.|A1
la mattina|der Morgen, -|Am Morgen trinke ich Kaffee.|A1
il motore|der Motor, -en|Der Motor funktioniert nicht.|A2
la bocca|der Mund, Münder|Er öffnet den Mund.|A1
il museo|das Museum, Museen|Wir besuchen das Museum.|A1
la musica|die Musik (kein Pl.)|Ich höre gern Musik.|A1
la madre|die Mutter, Mütter|Meine Mutter kocht gut.|A1
il vicino / la vicina|der Nachbar, -n / die Nachbarin, -nen|Mein Nachbar ist freundlich.|A1
la notte|die Nacht, Nächte|Gute Nacht!|A1
il nome|der Name, -n|Wie ist Ihr Name?|A1
il naso|die Nase, -n|Er hat eine große Nase.|A1
la natura|die Natur (kein Pl.)|Ich liebe die Natur.|A2
novembre|der November|Im November ist es kalt.|A1
il numero|die Nummer, -n|Welche Nummer hat das Zimmer?|A1
la frutta|das Obst (kein Pl.)|Ich esse viel Obst.|A1
il forno|der Ofen, Öfen|Der Kuchen ist im Ofen.|A1
ottobre|der Oktober|Im Oktober beginnt der Herbst.|A1
lo zio|der Onkel, -|Mein Onkel wohnt in Hamburg.|A1
l'opera|die Oper, -n|Wir gehen in die Oper.|A2
l'arancia|die Orange, -n|Die Orange ist süß.|A1
il luogo, il posto|der Ort, -e|Das ist ein schöner Ort.|A2
la coppia, il paio|das Paar, -e|Das Paar ist glücklich.|A2
il pacco|das Paket, -e|Ich habe ein Paket bekommen.|A1
la carta|das Papier, -e|Ich brauche ein Blatt Papier.|A1
il parco|der Park, -s|Wir spazieren im Park.|A1
il partner, il compagno / la compagna|der Partner, - / die Partnerin, -nen|Mein Partner arbeitet viel.|A1
il passaporto|der Pass, Pässe|Haben Sie Ihren Pass dabei?|A1
la pausa|die Pause, -n|Wir machen eine Pause.|A1
la persona|die Person, -en|Wie viele Personen kommen?|A1
la piazza, il posto|der Platz, Plätze|Bitte nehmen Sie Platz.|A1
la polizia|die Polizei (kein Pl.)|Rufen Sie die Polizei!|A1
la posta|die Post (kein Pl.)|Ich gehe zur Post.|A1
la cartolina|die Postkarte, -n|Ich schicke dir eine Postkarte.|A1
il prezzo|der Preis, -e|Der Preis ist günstig.|A1
il problema|das Problem, -e|Ich habe ein Problem.|A1
il programma|das Programm, -e|Das Programm ist interessant.|A2
l'esame|die Prüfung, -en|Morgen habe ich eine Prüfung.|A1
il maglione|der Pullover, -|Der Pullover ist warm.|A1
la radio|das Radio, -s|Ich höre Radio.|A1
il consiglio|der Rat (kein Pl.)|Kannst du mir einen Rat geben?|A2
il municipio|das Rathaus, Rathäuser|Das Rathaus ist im Zentrum.|A2
la stanza, lo spazio|der Raum, Räume|Der Raum ist groß.|A2
il conto, la fattura|die Rechnung, -en|Die Rechnung, bitte!|A1
il diritto|das Recht, -e|Jeder hat das Recht auf Bildung.|A2
la pioggia|der Regen (kein Pl.)|Der Regen hört nicht auf.|A1
l'ombrello|der Regenschirm, -e|Nimm den Regenschirm mit!|A1
il viaggio|die Reise, -n|Wir machen eine Reise nach Italien.|A1
il ristorante|das Restaurant, -s|Wir essen im Restaurant.|A1
la gonna|der Rock, Röcke|Der Rock ist kurz.|A1
lo zaino|der Rucksack, Rucksäcke|Mein Rucksack ist schwer.|A1
la calma, il silenzio, la tranquillità|die Ruhe (kein Pl.)|Ich brauche Ruhe.|A2
il succo|der Saft, Säfte|Ich trinke Orangensaft.|A1
l'insalata|der Salat, -e|Ich esse einen Salat.|A1
il sabato|der Samstag, -e|Am Samstag gehe ich einkaufen.|A1
la frase|der Satz, Sätze|Bitte lesen Sie den Satz.|A1
l'attore / l'attrice|der Schauspieler, - / die Schauspielerin, -nen|Er ist ein berühmter Schauspieler.|A1
la nave|das Schiff, -e|Das Schiff fährt nach England.|A1
il prosciutto|der Schinken, -|Ich esse Brot mit Schinken.|A1
la chiave|der Schlüssel, -|Wo ist mein Schlüssel?|A1
il dolore|der Schmerz, -en|Ich habe Schmerzen.|A2
la neve|der Schnee (kein Pl.)|Im Winter liegt Schnee.|A1
l'armadio|der Schrank, Schränke|Die Kleidung ist im Schrank.|A1
la scarpa|der Schuh, -e|Die Schuhe sind neu.|A1
la scuola|die Schule, -n|Die Kinder gehen zur Schule.|A1
lo studente / la studentessa (scuola)|der Schüler, - / die Schülerin, -nen|Der Schüler lernt fleißig.|A1
la sorella|die Schwester, -n|Meine Schwester ist jünger als ich.|A1
il lago|der See, -n|Wir fahren an den See.|A1
la pagina, il lato|die Seite, -n|Bitte öffnen Sie Seite 10.|A1
il secondo|die Sekunde, -n|Warte eine Sekunde!|A1
settembre|der September|Im September beginnt der Herbst.|A1
lo smartphone|das Smartphone, -s|Ich habe ein neues Smartphone.|A1
il figlio|der Sohn, Söhne|Mein Sohn ist 10 Jahre alt.|A1
l'estate|der Sommer, -|Im Sommer ist es heiß.|A1
il sole|die Sonne, -n|Die Sonne scheint.|A1
la domenica|der Sonntag, -e|Am Sonntag haben wir frei.|A1
la preoccupazione|die Sorge, -n|Mach dir keine Sorgen!|A2
la salsa, il sugo|die Soße, -n|Die Soße ist lecker.|A1
lo sport|der Sport (kein Pl.)|Sport ist gesund.|A1
la lingua|die Sprache, -n|Welche Sprache sprichst du?|A1
la città|die Stadt, Städte|Berlin ist eine große Stadt.|A1
il piano (di un edificio)|der Stock, Stockwerke|Wir wohnen im ersten Stock.|A2
la strada, la via|die Straße, -n|Die Straße ist lang.|A1
il tram|die Straßenbahn, -en|Ich fahre mit der Straßenbahn.|A1
lo studente / la studentessa (università)|der Student, -en / die Studentin, -nen|Ich bin Student.|A1
lo studio, gli studi universitari|das Studium, Studien|Mein Studium dauert vier Jahre.|A2
la sedia|der Stuhl, Stühle|Bitte setz dich auf den Stuhl.|A1
l'ora|die Stunde, -n|Die Stunde dauert 45 Minuten.|A1
il supermercato|der Supermarkt, Supermärkte|Ich kaufe im Supermarkt ein.|A1
la zuppa, la minestra|die Suppe, -n|Die Suppe ist heiß.|A1
il sistema|das System, -e|Das System funktioniert gut.|A2
la lavagna|die Tafel, -n|Die Lehrerin schreibt an die Tafel.|A1
il giorno|der Tag, -e|Guten Tag!|A1
la zia|die Tante, -n|Meine Tante wohnt in München.|A1
la borsa, la tasca|die Tasche, -n|Meine Tasche ist schwer.|A1
la tazza|die Tasse, -n|Eine Tasse Kaffee, bitte.|A1
il taxi|das Taxi, -s|Ich nehme ein Taxi.|A1
il tè|der Tee, -s|Ich trinke gern Tee.|A1
la parte|der Teil, -e|Das ist ein wichtiger Teil.|A2
il telefono|das Telefon, -e|Das Telefon klingelt.|A1
il piatto|der Teller, -|Der Teller ist leer.|A1
l'appuntamento|der Termin, -e|Ich habe einen Termin beim Arzt.|A1
il test, l'esame|der Test, -s|Morgen haben wir einen Test.|A1
il teatro|das Theater, -|Wir gehen ins Theater.|A1
il tema, l'argomento|das Thema, Themen|Das Thema ist interessant.|A2
l'animale|das Tier, -e|Ich mag Tiere.|A1
il tavolo|der Tisch, -e|Der Tisch ist groß.|A1
la figlia|die Tochter, Töchter|Meine Tochter ist 15 Jahre alt.|A1
il bagno, la toilette|die Toilette, -n|Wo ist die Toilette?|A1
il pomodoro|die Tomate, -n|Ich esse gern Tomaten.|A1
la torta|die Torte, -n|Die Torte schmeckt gut.|A1
il turista / la turista|der Tourist, -en / die Touristin, -nen|Viele Touristen besuchen Berlin.|A1
la tradizione|die Tradition, -en|Das ist eine alte Tradition.|A2
il sogno|der Traum, Träume|Das ist mein Traum.|A2
la maglietta|das T-Shirt, -s|Ich trage ein T-Shirt.|A1
la porta|die Tür, -en|Bitte schließ die Tür.|A1
la metropolitana|die U-Bahn, -en|Ich fahre mit der U-Bahn.|A1
l'esercizio|die Übung, -en|Die Übung ist schwer.|A1
l'orologio, l'ora|die Uhr, -en|Wie viel Uhr ist es?|A1
l'ambiente, i dintorni|die Umgebung, -en|Die Umgebung ist schön.|A2
l'ambiente|die Umwelt (kein Pl.)|Wir müssen die Umwelt schützen.|A2
l'incidente|der Unfall, Unfälle|Es gab einen Unfall.|A2
l'università|die Universität, -en|Ich studiere an der Universität.|A1
la lezione|der Unterricht (kein Pl.)|Der Unterricht beginnt um 8 Uhr.|A1
le vacanze, la ferie|der Urlaub, -e|Ich brauche Urlaub.|A1
il padre|der Vater, Väter|Mein Vater arbeitet viel.|A1
l'evento|die Veranstaltung, -en|Die Veranstaltung findet morgen statt.|A2
la connessione, il collegamento|die Verbindung, -en|Die Verbindung ist schlecht.|A2
l'associazione, il club|der Verein, -e|Ich bin im Sportverein.|A2
il mezzo di trasporto|das Verkehrsmittel, -|Welches Verkehrsmittel benutzt du?|A2
l'assicurazione|die Versicherung, -en|Ich brauche eine Versicherung.|A2
il contratto|der Vertrag, Verträge|Ich habe den Vertrag unterschrieben.|A2
l'uccello|der Vogel, Vögel|Der Vogel singt.|A1
l'antipasto|die Vorspeise, -n|Als Vorspeise nehme ich Suppe.|A2
la scelta, l'elezione|die Wahl, -en|Die Wahl ist schwer.|A2
il bosco, la foresta|der Wald, Wälder|Wir gehen im Wald spazieren.|A1
la parete, il muro|die Wand, Wände|Das Bild hängt an der Wand.|A1
il bucato, la biancheria|die Wäsche (kein Pl.)|Ich muss Wäsche waschen.|A2
l'acqua|das Wasser (kein Pl.)|Ich trinke viel Wasser.|A1
il sito web|die Webseite, -n|Besuchen Sie unsere Webseite.|A2
la via, il percorso, la strada|der Weg, -e|Der Weg ist lang.|A1
il vino|der Wein, -e|Ich trinke gern Wein.|A1
il tempo (atmosferico)|das Wetter (kein Pl.)|Wie ist das Wetter heute?|A1
l'economia|die Wirtschaft (kein Pl.)|Die Wirtschaft wächst.|A2
la settimana|die Woche, -n|Ich arbeite fünf Tage pro Woche.|A1
il fine settimana|das Wochenende, -n|Am Wochenende schlafe ich lang.|A1
l'appartamento|die Wohnung, -en|Meine Wohnung ist klein.|A1
la parola|das Wort, Wörter|Ich kenne dieses Wort nicht.|A1
il dizionario|das Wörterbuch, Wörterbücher|Ich schaue im Wörterbuch nach.|A1
il desiderio|der Wunsch, Wünsche|Was ist dein Wunsch?|A2
la salsiccia|die Wurst, Würste|Ich esse Brot mit Wurst.|A1
il numero|die Zahl, -en|Welche Zahl kommt nach fünf?|A1
il dente|der Zahn, Zähne|Ich putze meine Zähne.|A1
il tempo|die Zeit (kein Pl.)|Ich habe keine Zeit.|A1
il giornale|die Zeitung, -en|Ich lese die Zeitung.|A1
il centro|das Zentrum, Zentren|Das Zentrum ist weit weg.|A1
l'obiettivo, la meta|das Ziel, -e|Was ist dein Ziel?|A2
la stanza, la camera|das Zimmer, -|Das Zimmer ist groß.|A1
il limone|die Zitrone, -n|Ich nehme Tee mit Zitrone.|A1
il treno|der Zug, Züge|Der Zug kommt um 10 Uhr.|A1
il futuro|die Zukunft (kein Pl.)|Die Zukunft ist ungewiss.|A2
lo stato, la condizione|der Zustand, Zustände|Der Zustand des Hauses ist gut.|A2
la cipolla|die Zwiebel, -n|Ich schneide die Zwiebel.|A1
l'iscrizione, la registrazione|die Anmeldung, -en|Die Anmeldung ist bis morgen möglich.|A2
la partenza|die Abfahrt, -en|Die Abfahrt ist um 8 Uhr.|A2
l'arrivo|die Ankunft, Ankünfte|Die Ankunft ist um 12 Uhr.|A2
l'inizio|der Anfang, Anfänge|Am Anfang war es schwer.|A2
la paura|die Angst, Ängste|Ich habe Angst vor Spinnen.|A2
il lavoro|die Arbeit, -en|Die Arbeit macht mir Spaß.|A1
il posto di lavoro|der Arbeitsplatz, Arbeitsplätze|Mein Arbeitsplatz ist modern.|A2
l'articolo|der Artikel, -|Lesen Sie den Artikel.|A2
l'occhio|das Auge, -n|Sie hat blaue Augen.|A1
l'uscita|der Ausgang, Ausgänge|Der Ausgang ist dort drüben.|A2
l'espressione|der Ausdruck, Ausdrücke|Das ist ein schöner Ausdruck.|A2
la vista, il panorama|die Aussicht, -en|Die Aussicht ist wunderschön.|A2
la scelta, la selezione|die Auswahl (kein Pl.)|Die Auswahl ist groß.|A2
il distributore automatico|der Automat, -en|Ich kaufe eine Fahrkarte am Automaten.|A2
la panetteria|die Bäckerei, -en|Ich kaufe Brot in der Bäckerei.|A1
il bagno|das Bad, Bäder|Das Bad ist groß.|A1
la palla, il pallone|der Ball, Bälle|Die Kinder spielen mit dem Ball.|A1
la batteria|die Batterie, -n|Die Batterie ist leer.|A2
il funzionario / la funzionaria|der Beamte, -n / die Beamtin, -nen|Der Beamte arbeitet im Amt.|A2
il significato|die Bedeutung, -en|Was ist die Bedeutung dieses Wortes?|A2
