verbo|traducao_tedesco|esempio|nivel
spegnere, rilassarsi|abschalten|Ich muss nach der Arbeit abschalten.|B1
chiudere a chiave, concludere|abschließen|Vergiss nicht, die Tür abzuschließen.|B1
annullare|absagen|Wir müssen den Termin absagen.|B1
concludere, completare|absolvieren|Sie hat ihr Studium erfolgreich absolviert.|B1
votare, coordinare|abstimmen|Wir müssen über den Vorschlag abstimmen.|B1
dividere, separare|abteilen|Man kann den Raum abteilen.|B1
aspettare|abwarten|Wir müssen die Ergebnisse abwarten.|B1
agire, recitare|agieren|Der Schauspieler agiert sehr überzeugend.|B1
cambiare, modificare|ändern|Sie sollten Ihre Meinung ändern.|B1
riconoscere, accettare|anerkennen|Man muss seine Fehler anerkennen.|B1
iniziare, cominciare|anfangen|Der Film fängt um 20 Uhr an.|B1
indossare|anhaben|Sie hat ein schönes Kleid an.|B1
fermare (veicolo), trattenere|anhalten|Der Bus hält an der nächsten Haltestelle.|B1
accettare, supporre|annehmen|Ich nehme an, du hast Hunger.|B1
provare (vestiti)|anprobieren|Möchten Sie diese Hose anprobieren?|B1
accendere (apparecchio), mettersi in fila|anstellen|Bitte stell den Fernseher an.|B1
aspirare a|anstreben|Sie strebt eine Karriere als Ärztin an.|B1
rinunciare, spedire|aufgeben|Ich gebe nicht auf!|B1
conservare, alzare, annullare|aufheben|Heb bitte den Stift auf.|B1
riagganciare (telefono), mettere|auflegen|Er hat einfach aufgelegt.|B1
registrare, accogliere, assorbire|aufnehmen|Wir nehmen ein Lied auf.|B1
formare, addestrare|ausbilden|Die Firma bildet neue Mitarbeiter aus.|B1
disimballare|auspacken|Ich muss noch meine Koffer auspacken.|B1
essere sufficiente|ausreichen|Das Geld reicht nicht aus.|B1
esaurire (vendita)|ausverkaufen|Das Konzert ist ausverkauft.|B1
osservare, prestare attenzione a|beachten|Bitte beachten Sie die Regeln.|B1
elaborare, modificare|bearbeiten|Ich muss diesen Text bearbeiten.|B1
minacciare|bedrohen|Der Klimawandel bedroht unsere Zukunft.|B1
influenzare|beeinflussen|Man sollte sich nicht so leicht beeinflussen lassen.|B1
promuovere, trasportare|befördern|Er wurde befördert.|B1
giustificare, fondare|begründen|Können Sie Ihre Meinung begründen?|B1
iniziare con|beginnen mit D|Wir beginnen mit dem Unterricht.|B1
offendere|beleidigen|Er hat mich beleidigt.|B1
notare, accorgersi|bemerken|Ich habe seinen Fehler bemerkt.|B1
consigliare|beraten|Der Experte berät uns.|B1
nominare, invocare|berufen|Er wurde in den Vorstand berufen.|B1
toccare|berühren|Man darf die Kunstwerke nicht berühren.|B1
occuparsi di|beschäftigen (sich mit D)|Ich beschäftige mich mit Sport.|B1
decidere, stabilire|beschließen|Wir haben beschlossen, umzuziehen.|B1
consistere in, essere composto da|bestehen aus D|Das Team besteht aus fünf Personen.|B1
determinare, definire|bestimmen|Du bestimmst, was wir machen.|B1
pregare|beten|Sie betet jeden Abend.|B1
prendersi cura di, supervisionare|betreuen|Sie betreut alte Menschen.|B1
muoversi, fare esercizio|bewegen (sich)|Man sollte sich regelmäßig bewegen.|B1
causare, provocare|bewirken|Seine Worte haben viel bewirkt.|B1
offrire|bieten|Das Restaurant bietet viele Gerichte.|B1
formare, costruire|bilden|Der Schnee bildet eine dicke Schicht.|B1
bloccare|blocken|Der Torwart konnte den Ball blocken.|B1
fiorire|blühen|Die Blumen blühen im Frühling.|B1
rompere|brechen|Er hat sich das Bein gebrochen.|B1
bruciare, ardere|brennen|Das Feuer brennt.|B1
spazzolare|bürsten|Sie bürstet ihr Haar.|B1
smorzare, cuocere al vapore|dämpfen|Das Gemüse wird gedämpft.|B1
durare|dauern|Wie lange dauert der Flug?|B1
servire|dienen|Dieses Werkzeug dient zum Öffnen von Flaschen.|B1
girare, voltare|drehen|Dreh dich bitte um.|B1
premere, spingere|drücken|Drück den Knopf.|B1
dare del tu|duzen|Wir duzen uns hier in der Firma.|B1
bocciare, fallire|durchfallen durch A|Er ist durch die Prüfung gefallen.|B1
annunciare|durchsagen|Die Ankunftszeit wurde durchgesagt.|B1
sposare (formale)|ehelichen|Er ehelichte seine Jugendliebe.|B1
affrettarsi|eilen|Ich muss eilen, sonst komme ich zu spät.|B1
venire in mente|einfallen|Mir ist eine gute Idee eingefallen.|B1
congelare|einfrieren|Man kann Brot einfrieren.|B1
introdurre, importare|einführen|Dieses neue Produkt wird im Herbst eingeführt.|B1
imballare, incartare|einpacken|Ich muss noch meine Geschenke einpacken.|B1
presentare, consegnare|einreichen|Bitte reichen Sie die Unterlagen bis Freitag ein.|B1
arredare, organizzare, installare|einrichten|Wir richten gerade unsere neue Wohnung ein.|B1
iscriversi, registrare|einschreiben|Sie möchte sich für den Kurs einschreiben.|B1
versare (bevanda)|einschenken|Soll ich dir noch einen Wein einschenken?|B1
assumere, regolare, smettere|einstellen|Die Firma stellt neue Mitarbeiter ein.|B1
entrare in (organizzazione, partito)|eintreten in A|Er ist in den Verein eingetreten.|B1
immigrare|einwandern|Viele Menschen wandern nach Deutschland ein.|B1
imbucare (lettera), inserire (moneta)|einwerfen|Bitte werfen Sie den Brief in den Briefkasten ein.|B1
rendere possibile|ermöglichen|Technologie ermöglicht uns vieles.|B1
nutrirsi|ernähren (sich)|Man sollte sich gesund ernähren.|B1
raggiungere, ottenere|erreichen|Ich konnte ihn telefonisch nicht erreichen.|B1
rendere difficile|erschweren|Der Regen erschwert die Fahrt.|B1
educare|erziehen|Sie erzieht ihre Kinder liebevoll.|B1
ottenere (risultato, obiettivo)|erzielen|Er hat ein gutes Ergebnis erzielt.|B1
esistere|exisitieren|Viele alte Traditionen existieren noch.|B1
abbattere (albero), emettere (sentenza)|fällen|Der Förster muss Bäume fällen.|B1
prendere, catturare|fangen|Der Hund fängt den Ball.|B1
afferrare, comprendere|fassen|Ich kann es nicht fassen!|B1
fissare, determinare|festlegen|Wir müssen den Termin festlegen.|B1
arrestare|festnehmen|Die Polizei hat den Dieb festgenommen.|B1
constatare, verificare|feststellen|Er stellte fest, dass die Tür offen war.|B1
filmare|filmen|Sie filmen eine Dokumentation.|B1
pescare|fischen|Wir fischen im Fluss.|B1
fluire, scorrere|fließen|Das Wasser fließt schnell.|B1
seguire|folgen|Folgen Sie mir bitte!|B1
promuovere, sostenere, estrarre|fördern|Die Regierung fördert kleine Unternehmen.|B1
esigere, rivendicare|fordern|Die Arbeiter fordern höhere Löhne.|B1
friggere (in olio)|frittieren|Pommes frites werden frittiert.|B1
riempire|füllen|Bitte füllen Sie das Glas mit Wasser.|B1
cuocere (fino al punto giusto)|garen|Das Fleisch muss noch garen.|B1
usare, utilizzare|gebrauchen|Man kann dieses alte Gerät noch gebrauchen.|B1
accadere, succedere|geschehen|Was ist geschehen?|B1
abituarsi a|gewöhnen (sich an A)|Ich muss mich an das neue Wetter gewöhnen.|B1
innaffiare, versare, fondere|gießen|Bitte gieß die Blumen.|B1
fondare, stabilire|gründen|Sie haben ein neues Unternehmen gegründet.|B1
dimezzarsi|halbieren (sich)|Die Zahl der Teilnehmer hat sich halbiert.|B1
agire, negoziare, trattare|handeln|Man muss schnell handeln.|B1
sollevare|heben|Er hebt das Paket hoch.|B1
sfidare|herausfordern|Diese Aufgabe fordert mich heraus.|B1
produrre, fabbricare|herstellen|Diese Firma stellt Autos her.|B1
sdraiarsi|hinlegen|Ich muss mich kurz hinlegen.|B1
sedersi|hinsetzen|Setz dich bitte hierhin.|B1
patire la fame|hungern|Viele Menschen hungern in dieser Region.|B1
informarsi con (qualcuno) su (qualcosa)|informieren (sich bei D über A)|Ich muss mich bei ihm über den Kurs informieren.|B1
installare|installieren|Wir müssen die neue Software installieren.|B1
internazionalizzare|internationalisieren|Das Unternehmen möchte seine Produkte internationalisieren.|B1
isolarsi da|isolieren (sich von D)|Manchmal möchte ich mich von allen isolieren.|B1
lottare, combattere|kämpfen|Sie kämpfen für ihre Rechte.|B1
accorciare, ridurre|kürzen|Man muss den Text kürzen.|B1
licenziare, rescindere, disdire|kündigen|Er hat seine Wohnung gekündigt.|B1
leccare|lecken an D|Der Hund leckt an seiner Pfote.|B1
soffrire di (malattia) / soffrire per (situazione)|leiden an A / unter D|Sie leidet an einer Erkältung.|B1
realizzare, permettersi|leisten|Er leistet gute Arbeit.|B1
dirigere, guidare, condurre|leiten|Sie leitet ein großes Team.|B1
insegnare|lehren|Er lehrt Englisch an der Universität.|B1
lodare|loben|Die Lehrerin lobt die Schüler.|B1
valere la pena|lohnen (sich)|Es lohnt sich, früh aufzustehen.|B1
mentire|lügen|Du sollst nicht lügen.|B1
gestire|managen|Sie managt ein internationales Projekt.|B1
segnalare, riferire, registrare|melden|Bitte melden Sie sich am Empfang.|B1
mobilitare|mobilisieren|Die neue Kampagne soll die Wähler mobilisieren.|B1
modernizzare|modernisieren|Die alte Küche wird modernisiert.|B1
arredare|möblieren|Die Wohnung ist komplett möbliert.|B1
pensare a, riflettere su|nachdenken über A|Ich muss über dein Angebot nachdenken.|B1
riempire di nuovo, ricaricare|nachfüllen|Kannst du bitte den Drucker nachfüllen?|B1
usare, sfruttare|nutzen|Nutzen Sie die Gelegenheit!|B1
aprire|öffnen|Das Geschäft öffnet um 9 Uhr.|B1
fischiare|pfeifen|Er pfeift ein Lied.|B1
piantare|pflanzen|Wir pflanzen Bäume im Garten.|B1
cogliere (fiori, frutta)|pflücken|Die Kinder pflücken Blumen.|B1
filosofare|philosophieren|Sie sitzen oft zusammen und philosophieren über das Leben.|B1
premiare|prämieren|Der beste Film wurde prämiert.|B1
calcolare, contare|rechnen|Kannst du schnell rechnen?|B1
ridurre|reduzieren|Wir müssen den Müll reduzieren.|B1
pulire, purificare|reinigen|Die Kleidung muss gereinigt werden.|B1
reclamare|reklamieren|Ich möchte diese Ware reklamieren.|B1
salvare|retten|Die Feuerwehr konnte das Kind retten.|B1
rischiare|riskieren|Er riskiert alles für seinen Traum.|B1
rotolare|rollen|Der Ball rollt den Hügel hinunter.|B1
salare|salzen|Bitte salzen Sie das Essen.|B1
riuscire, creare, farcela|schaffen|Ich schaffe das!|B1
stimare, apprezzare|schätzen|Ich schätze deine Hilfe sehr.|B1
brillare, sembrare|scheinen|Die Sonne scheint heute.|B1
spingere, far scorrere|schieben|Schieb den Stuhl näher heran.|B1
brutto, grave (usato con sein)|schlimm|Das ist nicht so schlimm.|B1
spingere fuori, forzare|abdrängen|Das Auto wurde von der Straße abgedrängt.|B2
partire (veicolo)|abfahren|Der Zug ist pünktlich abgefahren.|B2
prelevare (denaro), decollare|abheben|Ich möchte Geld vom Konto abheben.|B2
intercettare, origliare|abhören|Der Geheimdienst hat seine Telefongespräche abgehört.|B2
sostituire, staccarsi da|ablösen von D|Der neue Chef löst den alten ab.|B2
rimuovere (veicolo), rimorchiare|abschleppen|Mein Auto wurde abgeschleppt.|B2
tagliare, ottenere (risultato)|abschneiden|Er hat bei der Prüfung gut abgeschnitten.|B2
garantire, proteggere|absichern|Man muss die Baustelle absichern.|B2
investire (con veicolo), avviarsi|anfahren|Der Busfahrer hat eine Person angefahren.|B2
indicare, informare, vantarsi|angeben|Bitte geben Sie Ihre Daten an.|B2
guidare, citare|anführen|Er führte die Gruppe an.|B2
stimolare, incentivare|ankurbeln|Die Wirtschaft muss angekurbelt werden.|B2
allacciare (cintura di sicurezza)|anschnallen|Bitte schnallen Sie sich an.|B2
accumulare, arginare|anstauen|Das Wasser wird angestaut.|B2
istruire, designare|anweisen|Er wurde angewiesen, die Arbeit zu erledigen.|B2
espandere, migliorare, smontare|ausbauen|Wir wollen unser Geschäft ausbauen.|B2
essere annullato, cadere (capelli), mancare|ausfallen|Der Unterricht ist heute ausgefallen.|B2
equipaggiare con|ausstatten mit D|Das Zimmer ist mit modernen Möbeln ausgestattet.|B2
estinguersi|aussterben|Viele Tierarten sterben aus.|B2
emettere, espellere|ausstoßen|Fabriken stoßen viel CO2 aus.|B2
espandersi, allargarsi|ausweiten (sich)|Der Konflikt könnte sich ausweiten.|B2
rivendicare, esigere, sovraccaricare|beanspruchen|Die Arbeit beansprucht viel Zeit.|B2
percorrere, navigare|befahren|Dieses Gebiet darf nicht befahren werden.|B2
temere|befürchten|Ich befürchte das Schlimmste.|B2
comprendere, capire|begreifen|Ich begreife das Problem nicht.|B2
confessare, dichiararsi|bekennen (sich)|Er hat sich zu seiner Schuld bekannt.|B2
gravare, caricare, inquinare|belasten|Der Verkehr belastet die Umwelt.|B2
infastidire, molestare|belästigen|Er hat sie belästigt.|B2
necessitare, aver bisogno di|benötigen|Wir benötigen mehr Informationen.|B2
dare un voto, classificare|benoten|Der Lehrer benotet die Schüler.|B2
nascondere, contenere, salvare|bergen|Die Truhe birgt einen Schatz.|B2
occupare, riempire (posto)|besetzen|Die Stelle ist bereits besetzt.|B2
eliminare, rimuovere|beseitigen|Man muss das Problem beseitigen.|B2
confermare, comprovare|bestätigen|Bitte bestätigen Sie den Empfang der E-Mail.|B2
attivarsi, esercitare (attività)|betätigen (sich)|Er betätigt sich politisch.|B2
gestire, praticare, esercitare|betreiben|Er betreibt ein kleines Geschäft.|B2
mettere a letto, sistemare|betten|Sie bettete das Baby sanft in sein Bett.|B2
preservare, conservare|bewahren|Man muss die Natur bewahren.|B2
valutare, giudicare|bewerten|Der Professor bewertet die Arbeiten.|B2
concedere, autorizzare|bewilligen|Der Antrag wurde bewilligt.|B2
legare, unire|binden|Er bindet seine Schuhe.|B2
soffiare|blasen|Der Wind bläst stark.|B2
lampeggiare, fare un flash (radar)|blitzen|Es blitzt am Himmel.|B2
bloccare|blockieren|Die Straße ist blockiert.|B2
produrre (birra), preparare (tempesta)|brauen|Er braut sein eigenes Bier.|B2
applicare crema|cremen|Sie cremt sich jeden Morgen ein.|B2
coprire, apparecchiare|decken|Sie deckt den Tisch für das Abendessen.|B2
realizzare, eseguire|durchführen|Wir werden eine Umfrage durchführen.|B2
attraversare correndo, percorrere|durchlaufen|Er hat eine harte Schule durchlaufen.|B2
accettare, rispondere a|eingehen auf A|Er geht auf ihre Wünsche ein.|B2
intervenire in|eingreifen in A|Die Regierung muss eingreifen.|B2
stimare, valutare|einschätzen|Ich kann die Situation nicht einschätzen.|B2
iscrivere (bambino) a scuola|einschulen|Die Kinder werden im Herbst eingeschult.|B2
influenzare, agire su|einwirken auf A|Das Medikament wirkt auf den Körper ein.|B2
finire, terminare|enden|Die Vorstellung endet um 22 Uhr.|B2
mancare di, essere privo di|entbehren|Die Geschichte entbehrt jeder Logik.|B2
contrastare, combattere|entgegenwirken|Man muss den Problemen entgegenwirken.|B2
convalidare, svalutare|entwerten|Bitte entwerten Sie Ihre Fahrkarte.|B2
richiedere, esigere|erfordern|Diese Aufgabe erfordert viel Geduld.|B2
risultare, produrre, arrendersi|ergeben|Das Experiment ergab interessante Ergebnisse.|B2
afferrare, prendere (misure)|ergreifen|Die Regierung ergriff Maßnahmen gegen die Krise.|B2
mantenere, ricevere, ottenere|erhalten|Ich habe eine E-Mail erhalten.|B2
promulgare (legge), perdonare|erlassen|Das Parlament hat ein neues Gesetz erlassen.|B2
rinnovare|erneuern|Wir müssen die alte Heizung erneuern.|B2
acquisire, ottenere|erwerben|Er hat sich neue Sprachkenntnisse erworben.|B2
generare (profitto), produrre|erwirtschaften|Das Unternehmen erwirtschaftete einen hohen Gewinn.|B2
produrre, generare|erzeugen|Dieses Kraftwerk erzeugt Strom.|B2
tingere, colorare|färben|Sie lässt sich die Haare färben.|B2
ingrassare, lubrificare|fetten|Man muss die Kette fetten.|B2
tenere stretto, registrare|festhalten|Halten Sie sich gut fest!|B2
filtrare|filtern|Das Wasser muss gefiltert werden.|B2
fiorire, prosperare|florieren|Das Geschäft floriert gut.|B2
modellare, formare|formen|Der Künstler formt eine Skulptur aus Ton.|B2
perfezionarsi, fare formazione continua|fortbilden (sich)|Er bildet sich ständig fort.|B2
progredire, avanzare|fortschreiten|Die Forschung schreitet schnell fort.|B2
mangiare (per animali), divorare|fressen|Der Hund frisst sein Futter.|B2
